"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"374","490","490","Northumberland Rd","Northumberland Rd","Br Northumberland",""
"375","491","491","Mount St","Mount St","Sráid an Mhóta",""
"376","492","492","Grattan St","Grattan St","Sráid Grattan",""
"377","493","493","Merrion Sq","Merrion Sq","Cearnóg Mhuirfean",""
"378","494","494","Clare Street","Clare Street","Sráid an Chláraigh",""
"379","495","495","Westland Row","Westland Row","Rae an Iarthair",""
"380","496","496","Beresford Place","Beresford Place","Plás Beresford",""
"381","497","497","Amiens Street","Amiens Street","Sráid Amiens",""
"382","499","499","Summerhill Parade","Summerhill Parade","Paráid Ch an tSamhr",""
"383","500","500","Ballybough Rd","Ballybough Rd","Br an BhaileBhoicht",""
"384","501","501","Ballybough Rd","Ballybough Rd","Br an BhaileBhoicht",""
"385","509","509","Ballybough Rd","Ballybough Rd","Br an BhaileBhoicht",""
"386","510","510","Ballybough Rd","Ballybough Rd","Br an BhaileBhoicht",""
"387","511","511","Summerhill Parade","Summerhill Parade","Paráid Chnoc an tSa",""
"388","513","513","Summerhill Rd","Summerhill Rd","Br Chnoc an tSamhra",""
"389","515","515","Amiens Street","Amiens Street","Sráid Amiens",""
"390","516","516","North Strand Rd","North Strand Rd","Br na Trá Thuaidh",""
"391","518","518","North Strand Rd","North Strand Rd","Br na Trá Thuaidh",""
"392","519","519","North Strand Rd","North Strand Rd","Br na Trá Thuaidh",""
"393","521","521","Annesley Bridge","Annesley Bridge","Droichead Annesley",""
"394","522","522","Marino Mart","Marino Mart","Marglann Marino",""
"395","523","523","Marino Mart","Marino Mart","Marglann Marino",""
"396","525","525","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"397","526","526","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"398","527","527","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"399","528","528","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"400","529","529","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"401","530","530","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"402","531","531","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"403","532","532","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"404","533","533","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"405","534","534","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"406","535","535","Raheny Village","Raheny Village","Sráidbhaile Ráth Ea",""
"407","536","536","Raheny Village","Raheny Village","SrBhl Ráth Eanaigh",""
"408","537","537","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"409","538","538","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"410","539","539","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"411","540","540","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"412","541","541","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"413","542","542","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"414","543","543","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"415","544","544","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"416","545","545","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"417","546","546","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"418","547","547","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"419","548","548","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"420","549","549","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"421","550","550","Sutton Cross","Sutton Cross","Crois Chill Fhionnt",""
"422","551","551","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"423","552","552","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"424","553","553","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"425","554","554","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"426","555","555","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"427","557","557","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"428","558","558","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"429","559","559","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"430","560","560","Howth","Howth","Binn Éadair",""
"431","562","562","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"432","563","563","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"433","564","564","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"434","565","565","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"435","566","566","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"436","567","567","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"437","568","568","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"438","569","569","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"439","570","570","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"440","571","571","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"441","572","572","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"442","573","573","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"443","574","574","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"444","575","575","Howth","Howth","Binn Éadair",""
"445","576","576","Harbour Road","Harbour Road","Bóthar an Chuain",""
"446","577","577","Harbour Road","Harbour Road","Bóthar an Chuain",""
"447","579","579","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"448","580","580","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"449","581","581","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"450","582","582","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"451","583","583","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"452","584","584","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"453","585","585","Sutton Cross","Sutton Cross","Crois Chill Fhionnt",""
"454","586","586","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"455","587","587","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"456","588","588","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"457","589","589","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"458","590","590","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"459","591","591","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"460","592","592","Dublin Rd","Dublin Rd","Br Bhaile Átha Clia",""
"461","593","593","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"462","594","594","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"463","595","595","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"464","596","596","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"465","597","597","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"466","598","598","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"467","599","599","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"468","600","600","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"469","601","601","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"470","602","602","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"471","603","603","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"472","604","604","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"473","605","605","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"474","606","606","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"475","607","607","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"476","608","608","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"477","609","609","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"478","610","610","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"479","611","611","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"480","612","612","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"481","613","613","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"482","614","614","Fairview","Fairview","Fionnradharc",""
"483","615","615","Annesley Brg Rd.","Annesley Brg Rd.","Br Dhr Annesley",""
"484","616","616","North Strand Rd","North Strand Rd","Br na Trá Thuaidh",""
"485","617","617","North Strand Rd","North Strand Rd","Br na Trá Thuaidh",""
"486","618","618","North Strand Rd","North Strand Rd","Br na Trá Thuaidh",""
"487","619","619","Amiens Street","Amiens Street","Sráid Amiens",""
"488","620","620","Talbot Street","Talbot Street","Sráid Thalbóid",""
"489","621","621","Talbot Street","Talbot Street","Sráid Thalbóid",""
"490","624","624","Harmonstown Rd","Harmonstown Rd","Br Bhaile Hearman",""
"491","625","625","Harmonstown Rd","Harmonstown Rd","Br Bhaile Hearman",""
"492","626","626","Edenmore Green","Edenmore Green","Faiche Éadan Mór",""
"493","627","627","Edenmore Grove","Edenmore Grove","Garrán Éadan Mór",""
"494","628","628","Edenmore Grove","Edenmore Grove","Garrán Éadan Mór",""
"495","629","629","Edenmore Park","Edenmore Park","Páirc Éadan Mór",""
"496","630","630","Springdale Rd","Springdale Rd","Br Ghleanntán an To",""
"497","633","633","Tonlegee Dr","Tonlegee Dr","Cde Thóin le Gaoith",""
"498","634","634","Tonlegee Ave","Tonlegee Ave","Asc Thóin le Gaoith",""
"499","635","635","Glenwood Rd","Glenwood Rd","Br Ghleann na Coill",""
"500","636","636","Glenwood Rd","Glenwood Rd","Br Ghleann na Coill",""
"501","637","637","Springdale Rd","Springdale Rd","Br Ghleanntán an To",""
"502","638","638","Springdale Rd","Springdale Rd","Br Ghleanntán an To",""
"503","639","639","Edenmore Park","Edenmore Park","Páirc Éadan Mór",""
"504","640","640","Edenmore Grove","Edenmore Grove","Garrán Éadan Mór",""
"505","641","641","Edenmore Grove","Edenmore Grove","Garrán Éadan Mór",""
"506","642","642","Edenmore Green","Edenmore Green","Faiche Éadan Mór",""
"507","643","643","Harmonstown Rd","Harmonstown Rd","Br Bhaile Hearman",""
"508","644","644","Harmonstown Rd","Harmonstown Rd","Br Bhaile Hearman",""
"509","645","645","Harmonstown Rd","Harmonstown Rd","Br Bhaile Hearman",""
"510","649","649","All Saints Rd","All Saints Rd","Br na Naomh Uile",""
"511","650","650","All Saints Rd","All Saints Rd","Br na Naomh Uile",""
"512","651","651","All Saints Rd","All Saints Rd","Br na Naomh Uile",""
"513","653","653","Raheny","Raheny","Ráth Eanaigh",""
"514","654","654","Watermill Rd","Watermill Rd","Br an Mhuilinn Uisc",""
"515","655","655","Watermill Drive","Watermill Drive","Céide an Mhuilinn U",""
"516","656","656","Watermill Drive","Watermill Drive","Céide an Mhuilinn U",""
"517","657","657","All Saints Park","All Saints Park","Páirc na Naomh Uile",""
"518","658","658","All Saints Rd","All Saints Rd","Br na Naomh Uile",""
"519","659","659","All Saints Rd","All Saints Rd","Br na Naomh Uile",""
"520","661","661","Navan Rd","Westend Office Park","Br na hUaimhe",""
"521","662","662","Collins Avenue East","Clanmoyle Road","",""
"522","663","663","Collins Avenue East","Saint Peters School","",""
"523","664","664","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"524","665","665","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"525","666","666","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"526","667","667","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"527","668","668","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"528","669","669","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"529","670","670","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"530","671","671","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"531","672","672","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"532","674","674","Collins Ave","Collins Ave","Asc Uí Choileáin",""
"533","675","675","Amiens Street","Amiens Street","Sráid Amiens",""
"534","677","677","Greenfield Rd","Greenfield Rd","Br an Ghoirt Ghlais",""
"535","678","678","Greenfield Rd","Greenfield Rd","Br an Ghoirt Ghlais",""
"536","679","679","Greenfield Rd","Greenfield Rd","Br an Ghoirt Ghlais",""
"537","680","680","Strand Road","Strand Road","Bóthar na Trá",""
"538","681","681","Strand Road","Strand Road","Bóthar na Trá",""
"539","682","682","Strand Road","Strand Road","Bóthar na Trá",""
"540","683","683","St. Fintans Road","St. Fintans Road","Bóthar Fhionntain",""
"541","684","684","St. Fintans Road","St. Fintans Road","Bóthar Fhiontain",""
"542","685","685","St. Fintans Road","St. Fintans Road","Bóthar Fhionntain",""
"543","686","686","Sheilmartin Rd","Sheilmartin Rd","Br Shliabh Mhártain",""
"544","688","688","Strand Road","Strand Road","Bóthar na Trá",""
"545","689","689","Strand Road","Strand Road","Bóthar na Trá",""
"546","690","690","Strand Road","Strand Road","Bóthar na Trá",""
"547","691","691","Strand Road","Strand Road","Bóthar na Trá",""
"548","692","692","Strand Road","Strand Road","Bóthar na Trá",""
"549","693","693","Greenfield Rd","Greenfield Rd","Br an Ghoirt Ghlais",""
"550","694","694","Greenfield Rd","Greenfield Rd","Br an Ghoirt Ghlais",""
"551","695","695","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"552","696","696","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"553","697","697","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"554","698","698","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"555","699","699","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"556","700","700","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"557","701","701","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"558","702","702","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"559","703","703","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"560","704","704","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"561","705","705","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"562","706","706","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"563","707","707","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"564","708","708","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"565","709","709","Howth Road","Howth Road","Bóthar Bhinn Éadair",""
"566","710","710","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"567","711","711","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"568","712","712","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"569","713","713","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"570","714","714","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"571","715","715","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"572","716","716","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"573","717","717","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"574","718","718","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"575","719","719","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"576","720","720","Carrickbrack Rd","Carrickbrack Rd","Br Charraig Bhreac",""
"577","721","721","Carrickbrack Road","Carrickbrack Road","Br Charraig Bhreac",""
"578","722","722","Station Road","Station Road","Bóthar an Stáisiúin",""
"579","723","723","Raheny Road","Raheny Road","Bóthar Ráth Eanaigh",""
"580","724","724","Raheny Road","Raheny Road","Bóthar Ráth Eanaigh",""
"581","725","725","Raheny Road","Raheny Road","Bóthar Ráth Eanaigh",""
"582","726","726","Grange Road","Grange Road","Bóthar na Gráinsí",""
"583","727","727","Grange Road","Grange Road","Bóthar na Gráinsí",""
"584","728","728","Grange Road","Grange Road","Bóthar na Gráinsí",""
"585","729","729","Grange Road","Grange Road","Bóthar na Gráinsí",""
"586","730","730","Grange Road","Grange Road","Bóthar na Gráinsí",""
"587","731","731","Thormanby Road","Thormanby Road","Bóthar Thormanby",""
"588","733","733","Rathingle Road","Rathingle Road","Bóthar Ráth Aingil",""
"589","738","738","Grange Road","Grange Road","Bóthar na Gráinsí",""
"590","739","739","Grange Road","Grange Road","Bóthar na Gráinsí",""
"591","740","740","Grange Road","Grange Road","Bóthar na Gráinsí",""
"592","741","741","Grange Road","Grange Road","Bóthar na Gráinsí",""
"593","742","742","Raheny Road","Raheny Road","Bóthar Ráth Eanaigh",""
"594","743","743","Raheny Road","Raheny Road","Bóthar Ráth Eanaigh",""
"595","744","744","Raheny Road","Raheny Road","Bóthar Ráth Eanaigh",""
"596","745","745","Station Road","Station Road","Bóthar an Stáisiúin",""
"597","746","746","Kildare Street","Kildare Street","Sráid Chill Dara",""
"598","747","747","Kildare Street","Kildare Street","Sráid Chill Dara",""
"599","748","748","Merrion Row","Merrion Row","Rae Mhuirfean",""
"600","749","749","Baggot St","Baggot St","Sr Bhagóid",""
"601","750","750","Baggot St","Baggot St","Sr Bhagóid",""
"602","751","751","Baggot St","Baggot St","Sr Bhagóid",""
"603","752","752","Baggot St","Baggot St","Sr Bhagóid",""
"604","753","753","Waterloo Road","Waterloo Road","Bóthar Waterloo",""
"605","754","754","Waterloo Road","Waterloo Road","Bóthar Waterloo",""
"606","755","755","Waterloo Road","Waterloo Road","Bóthar Waterloo",""
"607","756","756","Morehampton Road","Morehampton Road","Bóthar Morehampton",""
"608","757","757","Morehampton Road","Morehampton Road","Bóthar Morehampton",""
"609","758","758","Morehampton Road","Morehampton Road","Bóthar Morehampton",""
"610","759","759","Donnybrook","Donnybrook","Domhnach Broc",""
"611","760","760","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"612","761","761","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"613","762","762","RTE","RTE","Bóthar Stigh Lorgan",""
"614","763","763","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"615","765","765","UCD","UCD","UCD",""
"616","767","767","UCD Campus","UCD Campus","UCD",""
"617","768","768","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"618","769","769","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"619","770","770","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"620","771","771","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"621","772","772","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
