"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"9197","557851","557851","Jamestown","Jamestown (Opp Church)","Baile Shéamais",""
"9198","557861","557861","Leitrim Village","Leitrim Village (Donnellans)","Sráidbh. Liatroma",""
"9199","557901","557901","Suncroft","Suncroft (Opp Church)","Crochta na Gréine",""
"9200","558001","558001","Corballa","Corballa (Opp St Josephs Church)","Corr Bhaile",""
"9201","558011","558011","Leitrim PO","Leitrim PO (L4154 Junction)","OP Liatroma",""
"9202","558101","558101","Culleens","Culleens (Hilltop)","",""
"9203","558111","558111","Owenbeg","Owenbeg (Closed School)","",""
"9204","558121","558121","Carrigeen","Carrigeen (Rodgers )","",""
"9205","558131","558131","Culleens","Culleens (Opposite Hilltop)","",""
"9206","558141","558141","Ballina","Ballina (Culleens Northbound)","Béal an Átha",""
"9207","558181","558181","Ballisodare","Ballisodare (Sally Gardens)","Baile Easa Dara",""
"9208","558191","558191","Ballisodare","Ballisodare (Clancy Grocery)","Baile Easa Dara",""
"9209","558201","558201","Drumkeel Cross","Drumkeel Cross (Eastbound)","X an Droma Chaoil",""
"9210","558211","558211","Beltra","Beltra (Opposite Collerys)","Béal Trá",""
"9211","558221","558221","Dromard","Dromard (Playground)","",""
"9212","558231","558231","Drumkeel Cross","Drumkeel Cross (Westbound)","X an Droma Chaoil",""
"9213","558311","558311","Kiltyclogher","Kiltyclogher (Opp Church)","Coillte Clochair",""
"9214","558321","558321","Enniscrone","Enniscrone (Main Street Gala)","Inis Crabhann",""
"9215","558331","558331","Ballincar","Ballincar (Opp Radisson Hotel)","",""
"9216","558341","558341","Kilglass","Kilglass (Opp Church)","",""
"9217","558351","558351","Rossinver","Rossinver (St Aidans NS)","",""
"9218","558361","558361","Rathlee","Rathlee (Church)","",""
"9219","558371","558371","Easkey","Easkey (Main Street Village Stores)","Iascaigh",""
"9220","558381","558381","Creggs Corner","Creggs Corner (Jctn Cregg House)","Cúinne na gCreag",""
"9221","558391","558391","Milltown","Milltown (Kerry) (Opp Post Office)","Baile an Mhuilinn",""
"9222","558401","558401","Rathangan (Kildare)","Rathangan (Bridge St Cafe)","Ráth Iomgháin",""
"9223","558411","558411","Allen","Allen (Church)","Allen",""
"9224","558421","558421","Markievicz Road","Sligo (Markievicz Road Bus Shelter)","Sligeach",""
"9225","558441","558441","Ballincar","Ballincar (Radisson Hotel)","",""
"9226","558471","558471","Sligo Clarion Hotel","Clarion Road (Clarion Hotel)","Sligeach",""
"9227","558481","558481","Mannionstown","Mannionstown (Brees Pub)","",""
"9228","558491","558491","Killeenduff","Killeenduff (National School)","",""
"9229","558501","558501","Harrisons Cross","Harrisons Cross (Southbound)","",""
"9230","558511","558511","Howleys Cross","Howleys Cross (Southbound)","",""
"9231","558521","558521","Enniscrone","Enniscrone (Main Street Hardware)","Inis Crabhann",""
"9232","558531","558531","Quigabar School","Quigabar (School)","Scoil Quigabar",""
"9233","558541","558541","Rathlee Chapel","Rathlee (Opposite Church)","Eaglais Ráth Lao",""
"9234","558551","558551","Finod Bridge","Finod Bridge (Westbound)","",""
"9235","558561","558561","Easkey","Easkey (Main Street - Chrissys Crafts)","Iascaigh",""
"9236","558571","558571","Killeenduff","Killeenduff (Opposite National School)","",""
"9237","558581","558581","Harrisons Cross","Harrisons Cross (Northbound)","",""
"9238","558591","558591","Templeboy","Templeboy (Church)","Teampall Baoith",""
"9239","558601","558601","Farniharpy","Farniharpy (Skreen Road Junction)","Farniharpy",""
"9240","558611","558611","Skreen","Skreen (Graveyard)","Uachtarl. na Scríne",""
"9241","558621","558621","Beltra","Beltra (Collerys)","Béal Trá",""
"9242","558641","558641","Ballrdrohid","Ballrdrohid (Southbound)","Béal an Droichid",""
"9243","558651","558651","Dromore West","Dromore West (The Coffee Shop)","An Droim Mór Thiar",""
